drugCode,drugName,companyName,drugCategory,diseaseCategory
201906902,가두에정5/10밀리그램,(유)한풍제약,의약품,당뇨
201906903,가두에정5/20밀리그램,(유)한풍제약,의약품,당뇨
201502790,가드렛정100mg(아나글립틴),제이더블유중외제약(주),의약품,당뇨
201600170,가드메트정100/1000밀리그램,제이더블유중외제약(주),의약품,당뇨
201600172,가드메트정100/500밀리그램,제이더블유중외제약(주),의약품,당뇨
201600171,가드메트정100/850밀리그램,제이더블유중외제약(주),의약품,당뇨
202102182,가브빌다정50밀리그램(빌다글립틴),(주)화이트생명과학,의약품,당뇨
200803517,가브스메트정50/1000밀리그램,한국노바티스(주),의약품,당뇨
201206684,가브스메트정50/500밀리그램,한국노바티스(주),의약품,당뇨
200803516,가브스메트정50/850밀리그램,한국노바티스(주),의약품,당뇨
200713803,가브스정50밀리그램(빌다글립틴),한국노바티스(주),의약품,당뇨
202107111,가블리메트정,신풍제약(주),의약품,당뇨
202200347,가블리정(빌다글립틴),신풍제약(주),의약품,당뇨
202105533,건디앙정10밀리그램(엠파글리플로진),건일바이오팜주식회사,의약품,당뇨
202105532,건디앙정25밀리그램(엠파글리플로진),건일바이오팜주식회사,의약품,당뇨
202002903,건레탈서방캡슐100밀리그램(실로스타졸),건일바이오팜주식회사,의약품,당뇨
202002902,건레탈서방캡슐200밀리그램(실로스타졸),건일바이오팜주식회사,의약품,당뇨
202001769,건메피드정2밀리그램(글리메피리드),건일바이오팜주식회사,의약품,당뇨
201903381,건메피드정4밀리그램(글리메피리드),건일바이오팜주식회사,의약품,당뇨
200300334,건일글리메피리드정2밀리그램,건일제약(주),의약품,당뇨
201902435,건트롤정10밀리그램(에제티미브),건일바이오팜주식회사,의약품,당뇨
201107514,게리드엠정,(주)한국파비스제약,의약품,당뇨
201307473,게리드정2밀리그램(글리메피리드),(주)한국파비스제약,의약품,당뇨
200704611,게리드정4밀리그램(글리메피리드),(주)한국파비스제약,의약품,당뇨
201107221,게리메트정2/500밀리그램,대한뉴팜(주),의약품,당뇨
201902889,경동리피그렐정100밀리그램(사르포그렐레이트염산염),경동제약(주),의약품,당뇨
201309112,경동아스피린장용정,경동제약(주),의약품,당뇨
201206820,경보아스피린장용정,(주)경보제약,의약품,당뇨
202200318,광동메포시타정50/1000밀리그램,광동제약(주),의약품,당뇨
202200317,광동메포시타정50/500밀리그램,광동제약(주),의약품,당뇨
202200316,광동메포시타정50/850밀리그램,광동제약(주),의약품,당뇨
201502369,광동시타글립틴인산염수화물정100밀리그램,광동제약(주),의약품,당뇨
201702015,광동아스피린장용정100mg,광동제약(주),의약품,당뇨
201203609,광동아토르바스타틴정20밀리그램(아토르바스타틴칼슘삼수화물),광동제약(주),의약품,당뇨
200709787,광동아토르바스타틴정10밀리그램(아토르바스타틴칼슘삼수화물),광동제약(주),의약품,당뇨
202105608,광동엠파글로정10밀리그램(엠파글리플로진),광동제약(주),의약품,당뇨
202105607,광동엠파글로정25밀리그램(엠파글리플로진),광동제약(주),의약품,당뇨
199502215,구루메포민정500mg(메트포르민염산염),영풍제약(주),의약품,당뇨
200500391,국제로잘탄정50밀리그램(로사르탄칼륨),국제약품(주),의약품,당뇨
200704769,국제피오글리타존정(피오글리타존염산염),국제약품(주),의약품,당뇨
201801324,국제피오글리타존정30밀리그램(피오글리타존염산염),국제약품(주),의약품,당뇨
201308664,"그루리스엠정(글리메피리드,메트포르민염산염)",한국휴텍스제약(주),의약품,당뇨
200400063,그루리스정2밀리그램(글리메피리드),한국휴텍스제약(주),의약품,당뇨
202000415,그루리스정4밀리그램(글리메피리드),한국휴텍스제약(주),의약품,당뇨
202300715,그루시가정10/4밀리그램,한국휴텍스제약(주),의약품,당뇨
200703873,그루타존정15밀리그램(피오글리타존염산염),한국넬슨제약(주),의약품,당뇨
201106782,그리마린엠정2/500밀리그램,(주)하원제약,의약품,당뇨
200402949,그리마린정(글리메피리드),(주)하원제약,의약품,당뇨
201206847,그리메폴서방정2/500밀리그램,한미약품(주),의약품,당뇨
200402623,그리메피드정1밀리그램(글리메피리드),한미약품(주),의약품,당뇨
200301831,그리메피드정2밀리그램(글리메피리드),한미약품(주),의약품,당뇨
200605448,그리메피드정4밀리그램(글리메피리드),한미약품(주),의약품,당뇨
201801110,그리멜정2mg(글리메피리드),지엘파마(주),의약품,당뇨
199603319,그리자이드정(글리클라짓)[캄보디아수출명:멜리크론정(Mellicron)],대한뉴팜(주),의약품,당뇨
201402049,그리코민서방정500밀리그램(메트포르민염산염),일성아이에스(주),의약품,당뇨
199301512,그리코민정(메트포르민염산염),일성아이에스(주),의약품,당뇨
199401749,그리크라정(글리클라짓)(수출명:글리제정)(수출명:하원글리제정),(주)하원제약,의약품,당뇨
200710496,그리타존정15밀리그램(피오글리타존염산염),일동제약(주),의약품,당뇨
201600980,그리피드정(글리메피리드),아이큐어(주),의약품,당뇨
202002784,그리피드정4밀리그램(글리메피리드),아이큐어(주),의약품,당뇨
200708367,그리핀정(피오글리타존염산염),삼익제약(주),의약품,당뇨
201905085,그리핀정30밀리그램(피오글리타존염산염),삼익제약(주),의약품,당뇨
199701437,그린페지정(메트포르민염산염),진양제약(주),의약품,당뇨
201301370,그릴정(글리메피리드),에스피씨(주),의약품,당뇨
